sample_id,event_group_id,split,text_fragment,title,entity_norm,found_risk_keywords,source,published_year,published_month,alert_flag,risk_type_4cls
ml_000001,eg_000001,train,"Газпромбанк и РСХБ самоустранились от проекта ""Едим дома!"" РСХБ и ГПБ заявили, что проект не соответствует их действующим кредитным программам. Росбанк (входит в группу Societe Generale) констатировал, что не занимается проектным финансированием субъектов малого предпринимательства. Представитель ВТБ 24 отметил, что проект не попадает в целевой сегмент финансирования, но банк может рассмотреть возможность финансирования дальнейшего развития сети.","Газпромбанк и РСХБ самоустранились от проекта ""Едим дома!""",Росбанк,,buriy,2015,5,0,no_risk
ml_000002,eg_000002,test,"Хакеры четыре года грабили клиентов Сбербанка и ВТБ Во время задержания хакеры попытались смыть в унитаз деньги, флешки и телефоны, а также хотели уничтожить компьютерную технику, которая стояла в их квартире, при помощи электромагнитного излучателя. Однако участникам расследования удалось найти технику, которую преступники использовали для похищения денег.",Хакеры четыре года грабили клиентов Сбербанка и ВТБ,ВТБ,хакеры,buriy,2015,6,1,cyber_risk
ml_000003,eg_000003,train,"Exxon и ""Роснефть"" прекратили бурение в Арктике из-за санкций Вместе с тем страны ЕС расширили и индивидуальные ограничительные меры, добавив в санкционный список 24 физических лица, включая российских парламентариев и лидеров ""народных республик"" юго-востока Украины. Американские санкции До сих пор в перечень компаний, которым американские кредиторы не могут предоставлять финансирование в любой форме на срок свыше 90 дней, входили ВТБ, Банк Москвы, Россельхозбанк, ""Роснефть"", ""НОВАТЭК"", ВЭБ и Газпромбанк. В пятницу к ним добавился Сбербанк.","Exxon и ""Роснефть"" прекратили бурение в Арктике из-за санкций",Газпромбанк,санкции,buriy,2014,9,0,no_risk
ml_000004,eg_000004,valid,"Российские банки захотели оценивать расходы клиентов по картам при выдаче кредитов Проектом заинтересовались 15 российских банков, десять из которых «занимают активную позицию», рассказывает Лагуткин. В ВТБ, «Альфа-банке», «Промсвязьбанке», »Райффайзенбанке», «Совкомбанке» и «Тинькофф Банке» подтвердили изданию, что вопрос оценки долговой нагрузки на основе транзакционной активности обсуждается. Как будет происходить обмен данными, банки ещё не обсуждали, пишет РБК.",Российские банки захотели оценивать расходы клиентов по картам при выдаче кредитов,ВТБ,,telegram_contest,2019,11,0,no_risk
ml_000005,eg_000005,train,"«Открытие» и «Росгосстрах» создадут крупнейшую частную финансовую группу Представители «Открытия» и «Росгосстраха» отказались от комментариев «Открытие» — один из наиболее активных консолидаторов в российском банковском секторе. Ранее, 23 августа, финансовая группа «Открытие» сообщила о завершении юридической процедуры присоединения Ханты-Мансийского банка Открытие к Банку «ФК Открытие». Объединение стало самым крупным в истории российского банковского сектора, его итог — появление банка «Финансовая Корпорация Открытие» с активами в 3,1 триллиона рублей.",«Открытие» и «Росгосстрах» создадут крупнейшую частную финансовую группу,Банк Открытие,клиентская база,lenta,2016,12,0,no_risk
ml_000006,eg_000006,valid,"Центробанк требует защитить информацию от хакеров Для борьбы с интернет-нападением на кредитные учреждения Центробанк предлагает разработать национальный стандарт, устанавливающий детальные технические требования к обеспечению информационной безопасности в финансовых организациях, и создать правовые условия для их обязательного применения. n5 декабря, по прогнозам Федеральной службы безопасности, должна была начаться крупномасштабная кибератака на серверы банков. Прогноз сбылся только отчасти: ближе к вечеру о распределенной атаке типа ""отказ в обслуживании"" (DDoS-атаке) рассказала ""Группа ВТБ"", однако, как отмечается в сообщении, инфраструктура кредитного учреждения продолжила работать в штатном режиме и клиенты не испытывали никаких затруднений. При этом опрошенные эксперты считают, что ""выдыхать"" рано: нападения на российскую банковскую инфраструктуру могут начаться в любой момент. n""Они (киберпреступники.",Центробанк требует защитить информацию от хакеров,ВТБ,кибератака,ods_tass,2016,12,0,no_risk
ml_000007,eg_000007,train,"Суд признал банкротом группу JFC Владимира Кехмана В июле производство по делу было возобновлено. По данным на конец октября 2014 года в списке кредиторов JFC значились Сбербанк, Банк Москвы, Промсвязьбанк, банк «Уралсиб», Райффайзенбанк, Амстердам Трейд Банк Н. В. и ЮниКредит Банк. Общая сумма требований банков составляла 18,23 млрд руб.",Суд признал банкротом группу JFC Владимира Кехмана,Сбербанк,суд,buriy,2015,9,0,no_risk
ml_000008,eg_000008,train,"Финансовый регулятор приостановил выдачу инвестпаев ""ОФГ ИНВЕСТ"" Это третья управляющая компания, помимо УК ""Райффайзен Капитал"" и УК ""Ренессанс Капитал"", которая будет осуществлять размещение средств пенсионных резервов. Учредителем НПФ ""Райффайзен"" является ЗАО ""Райффайзенбанк Австрия"". По итогам 2006 года по договорам обязательного пенсионного страхования НПФ начислил на пенсионные счета инвестиционный доход в размере 12,4 процента годовых.","Финансовый регулятор приостановил выдачу инвестпаев ""ОФГ ИНВЕСТ""",Райффайзенбанк,регулятор,lenta,2007,4,0,no_risk
ml_000009,eg_000009,train,"Финансовые проблемы «Трансаэро» дошли до суда Кроме долга перед поставщиками услуг (в том числе топлива), который составляет около 20 млрд руб., «Трансаэро» имеет большой долг перед финансовыми организациями — 66,9 млрд руб. В отчете «Трансаэро» по МСФО написано, что основными кредиторами компании по долгосрочным займам на конец 2014 года являлись Сбербанк России, Московский кредитный банк (ОАО), ПАО «Промсвязьбанк», АО АКБ «Новикомбанк», Банк ГПБ (АО), ОАО АКБ «Международный финансовый клуб», АО «Альфа-банк», ПАО «МТС-Банк». Поможет ли господдержка В конце сентября 2014 года руководство «Трансаэро» обратилось в Минтранс за поддержкой.",Финансовые проблемы «Трансаэро» дошли до суда,Альфа-Банк,сбой,buriy,2015,8,0,no_risk
ml_000010,eg_000010,test,"Порошенко ввел в действие решение СНБО о санкциях против России В черные списки также попали глава ""Газпрома"" Алексей Миллер, глава ВТБ Андрей Костин, владелец ""Реновы"" Виктор Вексельберг, гендиректор ""Сургутнефтегаза"" Владимир Богданов, член правления ""Сибура"" Кирилл Шамалов, бизнесмены Игорь Ротенберг, Олег Дерипаска и Сулейман Керимов. nСанкции Украины против РоссииnУкраина ранее уже ввела санкции против 1228 физических и 468 юридических лиц, среди которых были российские чиновники, политики, руководители предприятий, журналисты, некоторые жители Донбасса, концерн ""Алмаз-Антей"", Газпромбанк, ""Аэрофлот"" и т. д. nВ 2017 году Украина также ввела санкции в отношении российских компаний интернет- и медиаотрасли, таких как Mail. ru Group, ""Яндекс"", ""ВКонтакте"" и ""Одноклассники"".",Порошенко ввел в действие решение СНБО о санкциях против России,Газпромбанк,санкции,ods_tass,2018,5,0,no_risk
