sample_id,dataset_part,source,url,published_at,published_year,published_month,title,text_fragment,entity_mention,entity_norm,risk_type_candidate,found_risk_keywords,risk_type,entity_relevance,alert_flag,alert_reason,label_quality,risk_score_v1,split,review_status,review_comment
sample_000001,natural_sample,taiga_fontanka,http://www.fontanka.ru/2015/12/24/022/,1450948620,2015,12,«Трансаэро» через арбитраж пытается оспорить отзыв сертификата эксплуатанта,"«Трансаэро» через арбитраж пытается оспорить отзыв сертификата эксплуатанта Филев вышел из сделки в связи с тем, что другой ее участник, акционер «Трансаэро» Александр Плешаков, не набрал 51% акций, не обремененных претензиями кредиторов. 16 октября Сбербанк подал иск о банкротстве «Трансаэро», в дальнейшем такие же заявления подали ВТБ, Альфа-банк и Федеральная налоговая служба. 16 декабря Арбитражный суд Санкт-Петербурга и Ленинградской области запустил процедуру банкротства компании, признав обоснованным заявление Сбербанка.",Сбербанк,Сбербанк,legal_regulatory,иск; суд,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000481,natural_sample,lenta,https://lenta.ru/news/2017/03/16/sber_ua/,1489622400,2017,3,Украинский Сбербанк заявил об отсутствии опасности для интересов клиентов,"Украинский Сбербанк заявил об отсутствии опасности для интересов клиентов Санкции, введенные властями Украины в отношении ПАО «Сбербанк», не повлияют на законные интересы клиентов. Об этом говорится в заявлении на сайте украинской дочерней структуры Сбербанка.",Сбербанк,Сбербанк,sanctions,санкции,sanctions,direct,1,"В публикации описаны санкции или ограничения, связанные с Сбербанк.",ok,95,train,manual_checked,
sample_000771,risk_enriched_sample,buriy,http://www.ria.ru/economy/20151118/1323292908.html,1447822020,2015,11,"ВТБ не намерен участвовать в сделках по Ирану, пока не снимут санкции","ВТБ не намерен участвовать в сделках по Ирану, пока не снимут санкции МАНИЛА, 18 ноя — РИА Новости. Российский ВТБ не намерен участвовать в сделках по Ирану, пока с этой страны не снимут санкции, заявил в среду журналистам глава финучреждения Андрей Костин.",ВТБ,ВТБ,sanctions,санкции,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000469,natural_sample,ods_tass,https://tass.ru/ekonomika/6414009,1557350309,2019,5,Сбой произошел в работе онлайн-банка ВТБ,"Сбой произошел в работе онлайн-банка ВТБ МОСКВА, 8 мая. /ТАСС/.",ВТБ,ВТБ,operational_issue,сбой,operational_issue,direct,1,В публикации описан операционный риск для ВТБ.,ok,85,train,manual_checked,
sample_000207,natural_sample,buriy,http://top.rbc.ru/finances/20/04/2015/5530c9c99a794788fe44df89,1429477282,2015,4,"Скачок курса доллара обошелся «Транснефти» в 75,3 млрд руб.","Скачок курса доллара обошелся «Транснефти» в 75,3 млрд руб. На 31 декабря 2014 года, говорится в отчетности, балансовая стоимость обязательства по барьерным опционам составила 62,6 млрд руб., а по свопу — 13,8 млрд руб., эти суммы включены в состав прочей кредиторской задолженности. О похожих инструментах в конце прошлого года рассказывал РБК источник в Сбербанке: по его словам, одна из компаний просила увеличить барьер, когда курс доллара приблизился к 40 руб., Сбербанк пошел ей навстречу и передвинул барьер на 50 руб. Рост курса доллара выше этого значения увеличил убытки компании.",Сбербанк,Сбербанк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000596,risk_enriched_sample,ods_tass,https://tass.ru/ekonomika/1446260,1410899010,2014,9,ЦБ: влияние падения цен на нефть и санкций на экономику РФ смягчилось ослаблением рубля,"ЦБ: влияние падения цен на нефть и санкций на экономику РФ смягчилось ослаблением рубля nПозже о введении новых санкций объявили и США. В новый американский санкционный список был включен российский Сбербанк. Также ужесточены санкции в отношении Банка Москвы, Газпромбанка, Россельхозбанка, Внешэкономбанка и ВТБ.",Сбербанк,Сбербанк,sanctions,санкции,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000630,risk_enriched_sample,ods_tass,https://tass.ru/ekonomika/1538400,1414546537,2014,10,Европейский суд общей юрисдикции подтвердил получение иска от ВТБ против введенных санкций,"Европейский суд общей юрисдикции подтвердил получение иска от ВТБ против введенных санкций Европейский суд общей юрисдикции зарегистрировал иск российского банка ВТБ против санкций Евросоюза. Эту информацию ТАСС подтвердили в пресс-службе суда. n12 сентября Евросоюз ввел санкции против ряда крупнейших российских финансовых институтов, среди которых ВТБ, Сбербанк, Газпромбанк, Россельхозбанк, Внешэкономбанк. Европейским инвесторам запрещается выдавать им новые кредиты на срок более 30 дней, а также покупать их акции и облигации из новых выпусков со сроком обращения более 30 дней.",Газпромбанк,Газпромбанк,sanctions,суд; иск; санкции,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000820,targeted_risk_from_runews,buriy,http://snob.ru/selected/entry/93303,1433239800,2015,6,Хакеры четыре года грабили клиентов Сбербанка и ВТБ,"Хакеры четыре года грабили клиентов Сбербанка и ВТБ Во время задержания хакеры попытались смыть в унитаз деньги, флешки и телефоны, а также хотели уничтожить компьютерную технику, которая стояла в их квартире, при помощи электромагнитного излучателя. Однако участникам расследования удалось найти технику, которую преступники использовали для похищения денег.",ВТБ,ВТБ,data_leak_security,хакеры,data_leak_security,direct,1,"Хакеры грабили клиентов Сбербанка и ВТБ, что является риском информационной безопасности/мошенничества.",ok,100,train,manual_checked,
sample_000306,natural_sample,telegram_contest,https://tvrain.ru/news/forbes_sostavil_rejting_luchshih_rabotodatelej_rossii-497633/,1574158957,2019,11,Forbes составил рейтинг лучших работодателей России,"Forbes составил рейтинг лучших работодателей России «Полюс» набрал 60,81 балла. На третьем месте Газпромбанк с 60,45 балла. Forbes отмечает, что банк лидирует в рейтинге по размеру средней зарплаты.",Газпромбанк,Газпромбанк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000696,risk_enriched_sample,buriy,http://www.vesti.ru/doc.html?id=1972025,1410782400,2014,9,Moody's: санкции скажутся на кредитоспособности РФ,"Moody's: санкции скажутся на кредитоспособности РФ Агентство ожидает, что при сохранении санкций основные экономические проблемы России станут глубже и заметнее и могут отрицательно сказаться на важнейших показателях кредитоспособности в средне- и долгосрочной перспективе. Напомним, санкции Евросоюза предусматривают запрет на кредитование пяти российских госбанков (Сбербанк, ВТБ, ВЭБ, Газпромбанк, Россельхозбанк) и трех крупнейших энергетических компаний (""Роснефть"", ""Газпром нефть"" и ""Транснефть""). Запрет на обращение новых облигаций и акций перечисленных компаний и банков ужесточен: максимально возможная дюрация этих инструментов снижена с 90 до 30 дней.",Газпромбанк,Газпромбанк,sanctions,санкции,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
