sample_id,dataset_part,source,url,published_at,published_year,published_month,title,text_fragment,entity_mention,entity_norm,risk_type_candidate,found_risk_keywords,risk_type,entity_relevance,alert_flag,alert_reason,label_quality,risk_score_v1,split,review_status,review_comment
sample_000001,natural_sample,taiga_fontanka,http://www.fontanka.ru/2015/12/24/022/,1450948620,2015,12,«Трансаэро» через арбитраж пытается оспорить отзыв сертификата эксплуатанта,"«Трансаэро» через арбитраж пытается оспорить отзыв сертификата эксплуатанта Филев вышел из сделки в связи с тем, что другой ее участник, акционер «Трансаэро» Александр Плешаков, не набрал 51% акций, не обремененных претензиями кредиторов. 16 октября Сбербанк подал иск о банкротстве «Трансаэро», в дальнейшем такие же заявления подали ВТБ, Альфа-банк и Федеральная налоговая служба. 16 декабря Арбитражный суд Санкт-Петербурга и Ленинградской области запустил процедуру банкротства компании, признав обоснованным заявление Сбербанка.",Сбербанк,Сбербанк,legal_regulatory,иск; суд,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000003,natural_sample,telegram_contest,https://profile.ru/scitech/internet/evolyuciya-cifrovogo-spruta-195683/,1574035200,2019,11,Эволюция цифрового спрута,"Эволюция цифрового спрута Впрочем, такие интернет-гиганты в мире высоких технологий принято теперь называть экосистемами, эволюционирующими экономическими материями со множеством различных бизнесов в самых разных сферах, в центре которых главный бренд. Такими экосистемами стали Google, Amazon, Apple, Facebook, Сбербанк, Mail.ru. Эволюция цифровых экосистем оказалась столь бурной, что биологическое существо – человек – уже с трудом мыслит себя вне их.",Сбербанк,Сбербанк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000004,natural_sample,buriy,http://www.interfax.ru/business/417923,1421295900,2015,1,Суд признал Змеиногорский винзавод на Алтае банкротом,"Суд признал Змеиногорский винзавод на Алтае банкротом Общая сумма долга винзавода перед пятью кредиторами составила 693,3 млн рублей. Среди основных кредиторов компании фигурирует Сбербанк, Россельхозбанк и Федеральная налоговая служба. Дело о банкротстве ""Змеиногорского виноводочного завода"" арбитраж открыл в августе 2013 года по заявлению Федеральной налоговой службы.",Россельхозбанк,Россельхозбанк,legal_regulatory,суд,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000005,natural_sample,telegram_contest,https://sibdepo.ru/news/rosselhozbank-zapustil-programmu-kreditovaniya-biznesa-na-vyplatu-zarabotnoj-platy-pod-0.html,1587958199,2020,4,Россельхозбанк запустил программу кредитования бизнеса на выплату заработной платы под 0%,Россельхозбанк запустил программу кредитования бизнеса на выплату заработной платы под 0% АО «Россельхозбанк» приступил к финансированию в рамках государственной программы кредитования на выплату заработной платы для малого и микробизнеса и индивидуальных предпринимателей. Банком приняты решения о финансировании по заявкам компаний и начаты выдачи кредитов.,Россельхозбанк,Россельхозбанк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000006,natural_sample,ods_tass,https://tass.ru/proisshestviya/2509394,1449620718,2015,12,"Кехман просит об отводе судьи по делу JFC, заявив, что тот подсказывает Сбербанку","Кехман просит об отводе судьи по делу JFC, заявив, что тот подсказывает Сбербанку nЗаявление прозвучало в ходе рассмотрения в апелляции жалобы Кехмана на решение суда первой инстанции, который ранее признал банкротом его компанию по продаже бананов - ЗАО ""Группа Джей Эф Си"" и утвердил конкурсным управляющим Игоря Маслова из ассоциации МСРО ""Содействие"". n""Имеются основания предполагать, что (рассматривающий жалобу) судья подсказывал лицам, участвующим в деле, - представителям Сбербанка и МСРО - о необходимости отозвать поданные отзывы (на жалобу) с целью не откладывать (рассмотрение дела)"", - сказала представитель Кехмана в суде. nРанее она ходатайствовала об отложении рассмотрения дела, заявив, что Сбербанк представил свои пояснения только во вторник, а аналогичные документы ""Содействия"", отправленные почтой, не были доставлены. После вопросов судьи стороны решили не приобщать эти документы к делу, а заявить позицию устно.",Сбербанк,Сбербанк,customer_complaints,жалобы,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000008,natural_sample,lenta,https://lenta.ru/news/2016/11/22/pochta/,1479772800,2016,11,«Почта России» раскрыла данные о зарплате руководителя госкомпании,«Почта России» раскрыла данные о зарплате руководителя госкомпании Дмитрий Страшнов занимает пост гендиректора «Почты России» с апреля 2013 года. В январе текущего года он вошел в состав наблюдательного совета публичного акционерного общества (ПАО) Почта Банк.,Почта Банк,Почта Банк,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000009,natural_sample,ods_tass,https://tass.ru/ekonomika/6496053,1559348144,2019,6,"Банк ""ФК Открытие"" может выплатить ЦБ за 2018 год 2 млрд рублей дивидендов","Банк ""ФК Открытие"" может выплатить ЦБ за 2018 год 2 млрд рублей дивидендов МОСКВА, 31 мая. /ТАСС/.",ФК Открытие,Банк Открытие,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000010,natural_sample,buriy,http://top.rbc.ru/finances/15/07/2015/55a689959a7947f55e7b439f,1436980550,2015,7,ЦБ впервые назвал десятку системно значимых банков,"ЦБ впервые назвал десятку системно значимых банков Фото: Екатерина Кузьмина/РБК К банкам, оказывающим особое влияние на всю систему, регулятор, согласно сообщению его пресс-службы от 15 июля 2015 года, причислил Сбербанк, ВТБ, Россельхозбанк, Газпромбанк, ЮниКредит Банк, Райффайзенбанк, Росбанк, Альфа-банк, ФК «Открытие» и Промсвязьбанк. Это крупнейшие банки по размеру активов.",Промсвязьбанк,Промсвязьбанк,legal_regulatory,регулятор,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000011,natural_sample,telegram_contest,https://moika78.ru/news/2019-11-20/321741-liliya-agarkova-o-nedele-predprinimatelstva-vse-eto-pohozhe-na-pionerskij-lager/,1574239936,2019,11,Лилия Агаркова о Неделе предпринимательства: все это похоже на пионерский лагерь,"Лилия Агаркова о Неделе предпринимательства: все это похоже на пионерский лагерь Представители региональных хостелов сидели в первом ряду и ловили каждое слово отельеров культурной столицы. Остается добавить, что судя по логотипам первого листа из пачки программы, заплатили за все это удовольствие правительство Петербурга, Минэкономразвития, Центр оказания услуг «Мой бизнес», Банк Санкт-Петербург, и еще несколько спонсоров. Проведение такого мероприятия специалисты оценивают от 5-7 млн рублей.",Банк Санкт-Петербург,Банк Санкт-Петербург,no_risk,,no_risk,mentioned_only,0,,ok,0,train,manual_checked,банк только упомянут
sample_000012,natural_sample,lenta,https://lenta.ru/news/2016/04/15/rian_isk_yukos/,1460678400,2016,4,Парижский суд разблокировал счета «России сегодня» по делу ЮКОСа,"Парижский суд разблокировал счета «России сегодня» по делу ЮКОСа В феврале 2016-го холдинговая компания GML, представляющая интересы бывших акционеров нефтяной компании, оценивала стоимость арестованных во Франции российских активов в миллиард долларов. Среди них назывались деньги МИА «Россия сегодня» и «Госзагрансобственности» на счетах французской дочки ВТБ, а также задолженность компании Eutelsat перед «Космической связью». В июле 2014 года Третейский суд в Гааге признал, что Россия нарушала Энергетическую хартию и фактически конфисковала активы ЮКОСа.",ВТБ,ВТБ,legal_regulatory,суд,no_risk,mentioned_only,0,,ambiguous,0,train,manual_checked,риск относится не к банку
