sample_id,teacher_label,teacher_confidence,teacher_response_raw,teacher_prompt_version
ml_000001,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000003,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000005,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000007,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000008,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000009,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000011,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000012,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000013,1,0.8,"{
  ""label"": 1,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000015,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000016,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000017,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000019,1,0.8,"{
  ""label"": 1,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000020,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000021,1,0.8,"{
  ""label"": 1,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000022,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000023,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000024,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000025,1,0.95,"{
  ""label"": 1,
  ""confidence"": 0.95
}",teacher_prompt_v2b
ml_000026,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000030,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000031,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000034,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000036,1,0.95,"{
  ""label"": 1,
  ""confidence"": 0.95
}",teacher_prompt_v2b
ml_000038,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000039,0,0.4,"{
  ""label"": 0,
  ""confidence"": 0.4
}",teacher_prompt_v2b
ml_000040,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000041,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000043,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000044,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000046,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000047,1,0.95,"{
  ""label"": 1,
  ""confidence"": 0.95
}",teacher_prompt_v2b
ml_000048,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000049,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000050,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000051,1,0.95,"{
  ""label"": 1,
  ""confidence"": 0.95
}",teacher_prompt_v2b
ml_000053,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000054,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000055,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000057,1,0.95,"{
  ""label"": 1,
  ""confidence"": 0.95
}",teacher_prompt_v2b
ml_000058,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000059,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000060,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000061,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000063,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000064,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000066,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000067,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000068,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000069,1,0.95,"{
  ""label"": 1,
  ""confidence"": 0.95
}",teacher_prompt_v2b
ml_000070,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000071,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000072,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000073,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000074,0,0.6,"{
  ""label"": 0,
  ""confidence"": 0.6
}",teacher_prompt_v2b
ml_000075,0,0.7,"{
  ""label"": 0,
  ""confidence"": 0.7
}",teacher_prompt_v2b
ml_000077,0,0.4,"{
  ""label"": 0,
  ""confidence"": 0.4
}",teacher_prompt_v2b
ml_000079,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000080,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000082,0,0.8,"{
  ""label"": 0,
  ""confidence"": 0.8
}",teacher_prompt_v2b
ml_000083,0,0.7,"{
  ""label"": 0,
  ""confidence"": 0.7
}",teacher_prompt_v2b
ml_000084,0,0.3,"{
  ""label"": 0,
  ""confidence"": 0.3
}",teacher_prompt_v2b
ml_000085,1,0.9,"{
  ""label"": 1,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000086,0,0.9,"{
  ""label"": 0,
  ""confidence"": 0.9
}",teacher_prompt_v2b
ml_000088,1,0.95,"{
  ""label"": 1,
  ""confidence"": 0.95
}",teacher_prompt_v2b
