sample_id,text_fragment,title,entity_norm,alert_flag,teacher_model,teacher_label,teacher_confidence,teacher_reason
ml_000001,"Газпромбанк и РСХБ самоустранились от проекта ""Едим дома!"" РСХБ и ГПБ заявили, что проект не соответствует их действующим кредитным программам. Росбанк (входит в группу Societe Generale) констатировал, что не занимается проектным финансированием субъектов малого предпринимательства. Представитель ВТБ 24 отметил, что проект не попадает в целевой сегмент финансирования, но банк может рассмотреть возможность финансирования дальнейшего развития сети.","Газпромбанк и РСХБ самоустранились от проекта ""Едим дома!""",Росбанк,0,gpt-4.1,0,0.99,ok
ml_000003,"Exxon и ""Роснефть"" прекратили бурение в Арктике из-за санкций Вместе с тем страны ЕС расширили и индивидуальные ограничительные меры, добавив в санкционный список 24 физических лица, включая российских парламентариев и лидеров ""народных республик"" юго-востока Украины. Американские санкции До сих пор в перечень компаний, которым американские кредиторы не могут предоставлять финансирование в любой форме на срок свыше 90 дней, входили ВТБ, Банк Москвы, Россельхозбанк, ""Роснефть"", ""НОВАТЭК"", ВЭБ и Газпромбанк. В пятницу к ним добавился Сбербанк.","Exxon и ""Роснефть"" прекратили бурение в Арктике из-за санкций",Газпромбанк,0,gpt-4.1,1,0.98,ok
ml_000005,"«Открытие» и «Росгосстрах» создадут крупнейшую частную финансовую группу Представители «Открытия» и «Росгосстраха» отказались от комментариев «Открытие» — один из наиболее активных консолидаторов в российском банковском секторе. Ранее, 23 августа, финансовая группа «Открытие» сообщила о завершении юридической процедуры присоединения Ханты-Мансийского банка Открытие к Банку «ФК Открытие». Объединение стало самым крупным в истории российского банковского сектора, его итог — появление банка «Финансовая Корпорация Открытие» с активами в 3,1 триллиона рублей.",«Открытие» и «Росгосстрах» создадут крупнейшую частную финансовую группу,Банк Открытие,0,gpt-4.1,0,0.99,ok
ml_000007,"Суд признал банкротом группу JFC Владимира Кехмана В июле производство по делу было возобновлено. По данным на конец октября 2014 года в списке кредиторов JFC значились Сбербанк, Банк Москвы, Промсвязьбанк, банк «Уралсиб», Райффайзенбанк, Амстердам Трейд Банк Н. В. и ЮниКредит Банк. Общая сумма требований банков составляла 18,23 млрд руб.",Суд признал банкротом группу JFC Владимира Кехмана,Сбербанк,0,gpt-4.1,0,0.95,ok
ml_000008,"Финансовый регулятор приостановил выдачу инвестпаев ""ОФГ ИНВЕСТ"" Это третья управляющая компания, помимо УК ""Райффайзен Капитал"" и УК ""Ренессанс Капитал"", которая будет осуществлять размещение средств пенсионных резервов. Учредителем НПФ ""Райффайзен"" является ЗАО ""Райффайзенбанк Австрия"". По итогам 2006 года по договорам обязательного пенсионного страхования НПФ начислил на пенсионные счета инвестиционный доход в размере 12,4 процента годовых.","Финансовый регулятор приостановил выдачу инвестпаев ""ОФГ ИНВЕСТ""",Райффайзенбанк,0,gpt-4.1,1,0.85,ok
ml_000009,"Финансовые проблемы «Трансаэро» дошли до суда Кроме долга перед поставщиками услуг (в том числе топлива), который составляет около 20 млрд руб., «Трансаэро» имеет большой долг перед финансовыми организациями — 66,9 млрд руб. В отчете «Трансаэро» по МСФО написано, что основными кредиторами компании по долгосрочным займам на конец 2014 года являлись Сбербанк России, Московский кредитный банк (ОАО), ПАО «Промсвязьбанк», АО АКБ «Новикомбанк», Банк ГПБ (АО), ОАО АКБ «Международный финансовый клуб», АО «Альфа-банк», ПАО «МТС-Банк». Поможет ли господдержка В конце сентября 2014 года руководство «Трансаэро» обратилось в Минтранс за поддержкой.",Финансовые проблемы «Трансаэро» дошли до суда,Альфа-Банк,0,gpt-4.1,1,0.8,ok
ml_000011,"Вирус-вымогатель пока не атаковал ресурсы большинства российских госорганов nЦентр мониторинга и реагирования на компьютерные атаки в кредитно-финансовой сфере Банка России (ФинЦЕРТ) фиксировал массовые рассылки банкам вредоносного ПО, однако случаев компрометации информационных ресурсов российских кредитных организации в результате атаки вируса пока не было. Сбербанк 12 мая зафиксировал попытки атаки на инфраструктуру банка, однако проникновения в систему не произошло. nРостех также оказался не затронут атакой.",Вирус-вымогатель пока не атаковал ресурсы большинства российских госорганов,Сбербанк,0,gpt-4.1,1,0.8,ok
ml_000012,"Сбербанк смягчил антикризисные требования к заемщикам Сбербанк отменил ограничения на выдачу кредитов физическим лицам, введенные в 2008 году из-за финансового кризиса. Об этом пишет ""Коммерсант"".",Сбербанк смягчил антикризисные требования к заемщикам,Сбербанк,0,gpt-4.1,0,0.99,ok
ml_000013,"Банк ""Россия"" взял на обслуживание военнослужащих Черноморского флота Банк «Россия», подпавший под санкции США, взял на обслуживание военнослужащих Черноморского флота (ЧФ), сообщили в кредитной организации. До этого военнослужащие ЧФ обслуживались в «ВТБ Украина», который больше не работает в Крыму и Севастополе из-за угрозы санкций со стороны Нацбанка Украины. В одном из севастопольских отделений АБ «Россия» подтвердили, что служащие Черноморского флота обязательно должны будут получать зарплату на карточки именно этого банка.","Банк ""Россия"" взял на обслуживание военнослужащих Черноморского флота",ВТБ,1,gpt-4.1,1,0.94,ok
ml_000015,"Система денежных переводов ЦБ оказалась опасной для россиян Как отмечает издание, это может быть связано с деятельностью мошенников, которые проверяют наличие счета абонента в банке. На данный момент к системе подключены 12 банков: ВТБ, «Тинькофф», Промсвязьбанк, Росбанк, СКБ-банк, Газпромбанк, Альфа-банк, «Ак Барс», Райффайзенбанк, платежный сервис QIWI, Совкомбанк и РНКО «Платежный центр» — оператор платежной системы «Золотая корона». В ближайшее время к нему намерены также подключить «Открытие», «Юникредит», «Русский стандарт» и Газэнергобанк.",Система денежных переводов ЦБ оказалась опасной для россиян,Промсвязьбанк,0,gpt-4.1,1,0.85,ok
